No,Keyword,Search Intent,Search Volume,CPC,Paid Difficulty,SEO Difficulty
1,adhd,informational,450000,$2.52,17,89
2,adhd or add,,49500,$1.36,9,41
3,adhd and autism,"navigational, informational",12100,$3.61,8,54
4,adhd vs add,informational,9900,$2.03,9,58
5,adhd vs asd,,9900,$2.83,2,51
6,adhd and anxiety,informational,8100,$4.85,13,43
7,adhd and depression,"navigational, commercial",8100,$5.00,10,58
8,adhd vs autism,informational,8100,$0.83,5,53
9,adhd and dopamine,informational,6600,$3.04,1,47
10,adhd or bipolar,,5400,$3.63,4,27
11,adhd and bipolar,informational,4400,$4.12,6,43
12,adhd and caffeine,informational,3600,$0.11,2,40
13,adhd and sleep,"informational, navigational",3600,$2.27,3,57
14,adhd vs ocd,informational,3600,$0.91,14,32
15,adhd and relationships,informational,3600,$1.66,16,47
16,adhd vs bipolar,informational,2900,$4.63,4,41
17,adhd and dyslexia,"informational, navigational",2900,$8.21,2,34
18,adhd or bpd,informational,2900,$6.80,2,28
19,adhd and alcohol,"informational, navigational",2400,$2.47,1,44
20,adhd and autism overlap,transactional,2400,$1.09,6,45
21,adhd vs add symptoms,informational,1900,$1.40,22,64
22,adhd and addiction,"navigational, commercial",1600,$5.46,6,64
23,adhd and add,informational,1000,$2.63,11,59
24,adhd vs depression,informational,720,$3.08,9,43
25,adhd and perimenopause,"commercial, informational, transactional",720,$4.75,25,33
26,adhd vs audhd,informational,590,$1.05,2,25
27,adhd vs bpd,,590,$7.39,1,21
28,adhd vs autism in women,informational,480,$2.04,15,30
29,adhd vs bipolar 2,informational,390,$4.56,5,41
30,adhd versus odd,informational,390,$1.96,2,33
31,adhd versus add,informational,320,$3.15,16,39
32,adhd vs anxiety in women,informational,260,$3.34,23,37
33,adhd versus autism,informational,260,$0.34,13,44
34,adhd or autism test,informational,260,$1.96,56,37
35,adhd or high iq test,informational,210,$1.79,43,32
36,adhd or lazy,informational,210,$4.53,12,21
37,adhd vs bipolar in women,informational,170,$4.38,13,38
38,adhd vs add in women,informational,110,$2.56,43,50
39,adhd versus trauma,informational,110,$0.00,2,45
40,adhd like symptoms,informational,90,$25.24,9,78
41,adhd or dementia,informational,90,$0.04,4,24
42,adhd like autism,informational,70,$0.12,2,48
43,adhd or high iq test free,informational,50,$2.18,55,30
44,adhd or perimenopause,"informational, transactional, commercial",50,$7.85,19,22
45,adhd versus ocd,informational,40,$0.27,9,29
46,adhd versus depression,informational,30,$1.60,32,42
47,adhd like routine,informational,10,$0.00,1,37
